dim	coefficient
743	-2.5119964e-06
744	3.1674272e-06
745	-7.374204e-07
746	-1.1175891e-06
747	-1.0122463e-06
748	-5.2276266e-07
749	-2.6512773e-06
750	-7.13706e-06
751	-5.0601295e-07
752	1.0631536e-05
753	-2.7010753e-06
754	5.1306097e-07
755	-1.7309343e-06
756	8.603907e-07
757	-9.873382e-07
758	5.6066926e-07
759	1.4126861e-06
760	2.4277954e-06
761	-4.635217e-06
762	-5.2293553e-06
763	-3.746609e-07
764	-8.167586e-07
765	-2.1553869e-07
766	2.485982e-06
767	-5.898679e-07
